name,links,location,min_money,max_money,currency
Data scientist,https://vladimir.hh.ru/vacancy/74376536?from=vacancy_search_list&query=data+science,Москва,200000.0,240000.0,руб.
Quantitative Analyst,https://vladimir.hh.ru/vacancy/76506452?from=vacancy_search_list&query=data+science,Кипр,5000.0,8000.0,EUR
Machine Learning Engineer,https://vladimir.hh.ru/vacancy/76983946?from=vacancy_search_list&query=data+science,Баку,4000.0,8000.0,USD
Middle/Senior Data Engineer,https://vladimir.hh.ru/vacancy/71220088?from=vacancy_search_list&query=data+science,"Москва, Домодедовская",,200000.0,руб.
Data-engeneer (Middle),https://vladimir.hh.ru/vacancy/76921562?from=vacancy_search_list&query=data+science,Москва,250000.0,300000.0,руб.
Data Engineer (GoLang Developer),https://vladimir.hh.ru/vacancy/77019966?from=vacancy_search_list&query=data+science,Турция,,4000.0,EUR
Cloud Data Engineer,https://vladimir.hh.ru/vacancy/77111587?from=vacancy_search_list&query=data+science,Алматы,,2000.0,EUR
Senior Python разработчик (Intelligent Document Processing),https://vladimir.hh.ru/vacancy/77016383?from=vacancy_search_list&query=data+science,"Москва, Кожуховская",200000.0,400000.0,руб.
"Bioinformatics Developer, New Zealand",https://vladimir.hh.ru/vacancy/76866591?from=vacancy_search_list&query=data+science,Москва,5000.0,7500.0,USD
"Bioinformatics Developer, New Zealand",https://vladimir.hh.ru/vacancy/76866592?from=vacancy_search_list&query=data+science,Санкт-Петербург,5000.0,7500.0,USD
Аналитик данных / Data Analyst / Data Scientist,https://vladimir.hh.ru/vacancy/76962324?from=vacancy_search_list&query=data+science,Нижний Новгород,,80000.0,руб.
Менеджер по продажам образовательных программ международной школы Data Science и программирования,https://vladimir.hh.ru/vacancy/76241511?from=vacancy_search_list&query=data+science,Москва,30000.0,100000.0,руб.
Data Engineer (GoLang Developer),https://vladimir.hh.ru/vacancy/77020277?from=vacancy_search_list&query=data+science,Батуми,,4000.0,EUR
Global Head of Data Science & Analytics,https://vladimir.hh.ru/vacancy/76765162?from=vacancy_search_list&query=data+science,Санкт-Петербург,550000.0,,руб.
Data scientist (math modeling),https://vladimir.hh.ru/vacancy/76674451?from=vacancy_search_list&query=data+science,Москва,4000.0,10000.0,USD
Middle Data Analyst / Middle Аналитик данных (Data Science),https://vladimir.hh.ru/vacancy/69651005?from=vacancy_search_list&query=data+science,"Нижний Новгород, Горьковская",100000.0,150000.0,руб.
Системный аналитик (systems analyst),https://vladimir.hh.ru/vacancy/77145441?from=vacancy_search_list&query=data+science,Казань,,120000.0,руб.
Продакт-менеджер,https://vladimir.hh.ru/vacancy/76404547?from=vacancy_search_list&query=data+science,Москва,120000.0,,руб.
Senior Python developer (MLOps),https://vladimir.hh.ru/vacancy/77020530?from=vacancy_search_list&query=data+science,Куба (Азербайджан),,4000.0,EUR
Senior Python developer (MLOps),https://vladimir.hh.ru/vacancy/77020380?from=vacancy_search_list&query=data+science,Батуми,,4000.0,EUR
Аналитик данных / Data Insight Analytic,https://vladimir.hh.ru/vacancy/76754279?from=vacancy_search_list&query=data+science,Москва,,220000.0,руб.
Аналитик-программист (Data Engineer),https://vladimir.hh.ru/vacancy/76287517?from=vacancy_search_list&query=data+science,"Москва, Дмитровская и еще 1 ",100000.0,200000.0,руб.
Machine Learning Engineer,https://vladimir.hh.ru/vacancy/76735944?from=vacancy_search_list&query=data+science,Тбилиси,4000.0,8000.0,USD
Global Head of Data Science & Analytics,https://vladimir.hh.ru/vacancy/76765163?from=vacancy_search_list&query=data+science,Москва,550000.0,,руб.
Data Analyst (отдел Клиники),https://vladimir.hh.ru/vacancy/76700806?from=vacancy_search_list&query=data+science,"Москва, Савёловская и еще 1 ",,150000.0,руб.
Аналитик,https://vladimir.hh.ru/vacancy/76448683?from=vacancy_search_list&query=data+science,"Москва, Баррикадная и еще 1 ",,70000.0,руб.
Аналитик-исследователь (Data Scientist),https://vladimir.hh.ru/vacancy/76287794?from=vacancy_search_list&query=data+science,"Москва, Дмитровская и еще 1 ",100000.0,200000.0,руб.
Начинающий специалист (стажёр) по работе с иностранными клиентами,https://vladimir.hh.ru/vacancy/51029696?from=vacancy_search_list&query=data+science,Ростов-на-Дону,30000.0,400000.0,руб.
Менеджер по продажам образовательных программ международной школы Data Science и программирования,https://vladimir.hh.ru/vacancy/76242108?from=vacancy_search_list&query=data+science,Санкт-Петербург,30000.0,100000.0,руб.
Менеджер по продажам образовательных программ международной школы Data Science и программирования,https://vladimir.hh.ru/vacancy/76242148?from=vacancy_search_list&query=data+science,Екатеринбург,30000.0,100000.0,руб.
Middle+/Senior Data Scientist (Marketplace Efficiency),https://vladimir.hh.ru/vacancy/74010283?from=vacancy_search_list&query=data+science,Москва,280000.0,,руб.
Data scientist (remote),https://vladimir.hh.ru/vacancy/76417738?from=vacancy_search_list&query=data+science,Москва,200000.0,300000.0,руб.
Middle+/Senior Data Scientist (Marketplace Efficiency),https://vladimir.hh.ru/vacancy/74010282?from=vacancy_search_list&query=data+science,Санкт-Петербург,225000.0,280000.0,руб.
Middle ++\Senior data engineer,https://vladimir.hh.ru/vacancy/76341879?from=vacancy_search_list&query=data+science,Нижний Новгород,,200000.0,руб.
NLP Analyst,https://vladimir.hh.ru/vacancy/75836618?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Удельная",,250000.0,руб.
TechLead Research Engineer (NLP/Speech),https://vladimir.hh.ru/vacancy/54372021?from=vacancy_search_list&query=data+science,Москва,300000.0,400000.0,руб.
Data Scientist (middle/senior),https://vladimir.hh.ru/vacancy/70163749?from=vacancy_search_list&query=data+science,Москва,400000.0,,руб.
TechLead Research Engineer (NLP/Speech),https://vladimir.hh.ru/vacancy/54372020?from=vacancy_search_list&query=data+science,Санкт-Петербург,300000.0,400000.0,руб.
Risk Analyst,https://vladimir.hh.ru/vacancy/76948643?from=vacancy_search_list&query=data+science,Москва,,3000.0,USD
Quantitative researcher,https://vladimir.hh.ru/vacancy/76567518?from=vacancy_search_list&query=data+science,Москва,5000.0,7000.0,USD
TechLead Research Engineer (NLP/Speech),https://vladimir.hh.ru/vacancy/54372019?from=vacancy_search_list&query=data+science,Иннополис,300000.0,400000.0,руб.
Product Analyst (Remote),https://vladimir.hh.ru/vacancy/76821229?from=vacancy_search_list&query=data+science,Москва,,2000.0,USD
Senior Data Engineer,https://vladimir.hh.ru/vacancy/73453736?from=vacancy_search_list&query=data+science,Томск,250000.0,300000.0,руб.
Data Analyst,https://vladimir.hh.ru/vacancy/76081597?from=vacancy_search_list&query=data+science,Москва,,4000.0,USD
Data Engineer Lead / Дата инженер,https://vladimir.hh.ru/vacancy/76566894?from=vacancy_search_list&query=data+science,"Москва, Калужская",,300000.0,руб.
Data Engineer (GoLang Developer),https://vladimir.hh.ru/vacancy/73344564?from=vacancy_search_list&query=data+science,Сербия,,4000.0,EUR
Data Steward Intern,https://vladimir.hh.ru/vacancy/76289753?from=vacancy_search_list&query=data+science,Абхазия,3800.0,,USD
BI Analyst,https://vladimir.hh.ru/vacancy/76615658?from=vacancy_search_list&query=data+science,"Москва, Улица 1905 года",120000.0,220000.0,руб.
Senior Data Scientist,https://vladimir.hh.ru/vacancy/73387970?from=vacancy_search_list&query=data+science,"Москва, Технопарк",350000.0,,руб.
Senior Data Engineer,https://vladimir.hh.ru/vacancy/73453345?from=vacancy_search_list&query=data+science,Новосибирск,250000.0,300000.0,руб.
Senior Data Engineer,https://vladimir.hh.ru/vacancy/73453184?from=vacancy_search_list&query=data+science,Владивосток,250000.0,300000.0,руб.
BI Automatisation Manager,https://vladimir.hh.ru/vacancy/76615664?from=vacancy_search_list&query=data+science,"Москва, Улица 1905 года",200000.0,300000.0,руб.
Data Steward Intern,https://vladimir.hh.ru/vacancy/76289755?from=vacancy_search_list&query=data+science,Цхинвал,3800.0,,USD
Senior Python developer (MLOps),https://vladimir.hh.ru/vacancy/72696394?from=vacancy_search_list&query=data+science,Турция,,3500.0,EUR
Senior Python developer (MLOps),https://vladimir.hh.ru/vacancy/72709056?from=vacancy_search_list&query=data+science,Алматы,,3500.0,EUR
Senior Python developer (MLOps),https://vladimir.hh.ru/vacancy/72709055?from=vacancy_search_list&query=data+science,Тбилиси,,3500.0,EUR
Senior/Lead Data Engineer,https://vladimir.hh.ru/vacancy/76277631?from=vacancy_search_list&query=data+science,Москва,450000.0,,руб.
Middle Python Developer,https://vladimir.hh.ru/vacancy/76574398?from=vacancy_search_list&query=data+science,Астана,1500.0,2500.0,USD
Системный аналитик (R&D),https://vladimir.hh.ru/vacancy/76156037?from=vacancy_search_list&query=data+science,Москва,,230000.0,руб.
Middle / Senior QA-инженер в команду Поиска,https://vladimir.hh.ru/vacancy/73148800?from=vacancy_search_list&query=data+science,"Москва, Алексеевская",,200000.0,руб.
Специалист по работе с клиентами (Мани Мен),https://vladimir.hh.ru/vacancy/76074358?from=vacancy_search_list&query=data+science,Саратов,,50000.0,руб.
SQL-разработчик,https://vladimir.hh.ru/vacancy/76988404?from=vacancy_search_list&query=data+science,Москва,65000.0,,руб.
Hardware DEVELOPER / smart Cameras,https://vladimir.hh.ru/vacancy/76852251?from=vacancy_search_list&query=data+science,Москва,1500.0,3000.0,EUR
Аналитик фрод-мониторинга / Fraud Prevention Specialist,https://vladimir.hh.ru/vacancy/76770965?from=vacancy_search_list&query=data+science,ОАЭ,2000.0,3000.0,USD
Системный/бизнес аналитик,https://vladimir.hh.ru/vacancy/76987767?from=vacancy_search_list&query=data+science,Москва,,250000.0,руб.
Старший продуктовый аналитик в команду «Поиск заказов»,https://vladimir.hh.ru/vacancy/67773818?from=vacancy_search_list&query=data+science,"Москва, Аэропорт",250000.0,350000.0,руб.
АККРЕДИТОВАННАЯ КОМПАНИЯ Начинающий программист Golang,https://vladimir.hh.ru/vacancy/51028328?from=vacancy_search_list&query=data+science,Ростов-на-Дону,,40000.0,руб.
Head of Machine Learning,https://vladimir.hh.ru/vacancy/76938133?from=vacancy_search_list&query=data+science,Санкт-Петербург,,250000.0,руб.
Product Manager EdTech,https://vladimir.hh.ru/vacancy/76999790?from=vacancy_search_list&query=data+science,Москва,,80000.0,руб.
Client Side Developer,https://vladimir.hh.ru/vacancy/77035892?from=vacancy_search_list&query=data+science,Астана,3000.0,5000.0,USD
Sr CRA (Medical Device Direction),https://vladimir.hh.ru/vacancy/76899588?from=vacancy_search_list&query=data+science,Болгария,2000.0,4000.0,EUR
"Доцент кафедры ""Системное программирование""",https://vladimir.hh.ru/vacancy/53918959?from=vacancy_search_list&query=data+science,Москва,,69000.0,руб.
CI Engineer,https://vladimir.hh.ru/vacancy/76770084?from=vacancy_search_list&query=data+science,Москва,,5000.0,USD
Client Side Developer,https://vladimir.hh.ru/vacancy/77123715?from=vacancy_search_list&query=data+science,Санкт-Петербург,3000.0,5000.0,USD
Системный/Бизнес Аналитик на проект BPM,https://vladimir.hh.ru/vacancy/76774639?from=vacancy_search_list&query=data+science,Москва,250000.0,280000.0,руб.
Client Side Developer,https://vladimir.hh.ru/vacancy/77035893?from=vacancy_search_list&query=data+science,Алматы,3000.0,5000.0,USD
Client Side Developer,https://vladimir.hh.ru/vacancy/77035891?from=vacancy_search_list&query=data+science,Армения,3000.0,5000.0,USD
Senior system analyst,https://vladimir.hh.ru/vacancy/76006895?from=vacancy_search_list&query=data+science,Москва,,200000.0,руб.
Team Lead of Media buying / iGaming продукт,https://vladimir.hh.ru/vacancy/76404266?from=vacancy_search_list&query=data+science,Москва,,100000.0,руб.
"Senior C++ Developer (Germany, Munich)",https://vladimir.hh.ru/vacancy/76962335?from=vacancy_search_list&query=data+science,Москва,5400.0,6600.0,EUR
Лидогенератор в IT,https://vladimir.hh.ru/vacancy/76924560?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",60000.0,80000.0,руб.
АККРЕДИТОВАННАЯ КОМПАНИЯ Начинающий Java разработчик,https://vladimir.hh.ru/vacancy/70667162?from=vacancy_search_list&query=data+science,Ростов-на-Дону,,40000.0,руб.
"Доцент кафедры ""Высшая математика""",https://vladimir.hh.ru/vacancy/76558538?from=vacancy_search_list&query=data+science,Севастополь,,60910.0,руб.
Java разработчик,https://vladimir.hh.ru/vacancy/75697039?from=vacancy_search_list&query=data+science,Ростов-на-Дону,,140000.0,руб.
Lead DevOps,https://vladimir.hh.ru/vacancy/76648796?from=vacancy_search_list&query=data+science,Москва,450000.0,,руб.
Database Engineer,https://vladimir.hh.ru/vacancy/76471044?from=vacancy_search_list&query=data+science,Тбилиси,7500.0,,USD
Senior system analyst (Brokerage),https://vladimir.hh.ru/vacancy/72285675?from=vacancy_search_list&query=data+science,Москва,250000.0,350000.0,руб.
Системный аналитик (systems analyst),https://vladimir.hh.ru/vacancy/76368052?from=vacancy_search_list&query=data+science,Ташкент,,6000000.0,сум
Team Lead / Full-stack developer,https://vladimir.hh.ru/vacancy/76730953?from=vacancy_search_list&query=data+science,Германия,4800.0,6000.0,EUR
"Power BI Developer (Словения, удаленно)",https://vladimir.hh.ru/vacancy/76214247?from=vacancy_search_list&query=data+science,Алматы,3500.0,,USD
Senior Java Backend,https://vladimir.hh.ru/vacancy/75665318?from=vacancy_search_list&query=data+science,Москва,450000.0,,руб.
Backend-разработчик,https://vladimir.hh.ru/vacancy/76139449?from=vacancy_search_list&query=data+science,Воронеж,80000.0,150000.0,руб.
Специалист 1 разряда Отдела анализа качества данных,https://vladimir.hh.ru/vacancy/76564185?from=vacancy_search_list&query=data+science,Москва,,50000.0,руб.
Java Developer,https://vladimir.hh.ru/vacancy/76910279?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",130000.0,200000.0,руб.
Project manager,https://vladimir.hh.ru/vacancy/76336852?from=vacancy_search_list&query=data+science,Новосибирск,200000.0,,руб.
Lead DevOps Engineer,https://vladimir.hh.ru/vacancy/76236840?from=vacancy_search_list&query=data+science,Москва,400000.0,,руб.
Back-end Developer (Python/Golang),https://vladimir.hh.ru/vacancy/76078011?from=vacancy_search_list&query=data+science,Москва,140000.0,200000.0,руб.
Frontend-разработчик,https://vladimir.hh.ru/vacancy/76138501?from=vacancy_search_list&query=data+science,Воронеж,80000.0,150000.0,руб.
Senior System Analyst (blockchain),https://vladimir.hh.ru/vacancy/76414969?from=vacancy_search_list&query=data+science,Тбилиси,150000.0,250000.0,руб.
Начальник отдела наукометрического анализа (аналитика),https://vladimir.hh.ru/vacancy/47923151?from=vacancy_search_list&query=data+science,Новосибирск,,60000.0,руб.
Back-end Developer (Python/Golang),https://vladimir.hh.ru/vacancy/76078011?from=vacancy_search_list&query=data+science,Москва,140000.0,200000.0,руб.
Frontend-разработчик,https://vladimir.hh.ru/vacancy/76138501?from=vacancy_search_list&query=data+science,Воронеж,80000.0,150000.0,руб.
Senior System Analyst (blockchain),https://vladimir.hh.ru/vacancy/76414969?from=vacancy_search_list&query=data+science,Тбилиси,150000.0,250000.0,руб.
Начальник отдела наукометрического анализа (аналитика),https://vladimir.hh.ru/vacancy/47923151?from=vacancy_search_list&query=data+science,Новосибирск,,60000.0,руб.
Senior system analyst (Brokerage),https://vladimir.hh.ru/vacancy/76145317?from=vacancy_search_list&query=data+science,Москва,250000.0,400000.0,руб.
Тестировщик ПО/QA-инженер,https://vladimir.hh.ru/vacancy/76506990?from=vacancy_search_list&query=data+science,Воронеж,60000.0,100000.0,руб.
Senior System Analyst (blockchain),https://vladimir.hh.ru/vacancy/76414970?from=vacancy_search_list&query=data+science,Москва,150000.0,250000.0,руб.
Product Manager,https://vladimir.hh.ru/vacancy/76652383?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",70000.0,130000.0,руб.
C++ developer to Berlin,https://vladimir.hh.ru/vacancy/74410145?from=vacancy_search_list&query=data+science,Германия,7500.0,10834.0,EUR
Middle Linux System Administrator (релокация),https://vladimir.hh.ru/vacancy/76220463?from=vacancy_search_list&query=data+science,Санкт-Петербург,2000.0,,USD
Middle Linux System Administrator (релокация),https://vladimir.hh.ru/vacancy/76155624?from=vacancy_search_list&query=data+science,Москва,2000.0,,USD
Solutions Engineer (американская компания),https://vladimir.hh.ru/vacancy/76453088?from=vacancy_search_list&query=data+science,Тбилиси,3000.0,6500.0,USD
"Solutions Engineer (интеграция, внедрение софта)",https://vladimir.hh.ru/vacancy/76453503?from=vacancy_search_list&query=data+science,Тбилиси,3000.0,6500.0,USD
"Solutions Engineer (интеграция, внедрение ПО)",https://vladimir.hh.ru/vacancy/76453365?from=vacancy_search_list&query=data+science,Тбилиси,3000.0,6500.0,USD
Программист-разработчик Backend Senior,https://vladimir.hh.ru/vacancy/76619935?from=vacancy_search_list&query=data+science,Москва,80000.0,180000.0,руб.
Middle Linux System Administrator,https://vladimir.hh.ru/vacancy/76219017?from=vacancy_search_list&query=data+science,Тбилиси,2000.0,,USD
Сhief Technical Officer (CTO),https://vladimir.hh.ru/vacancy/76234573?from=vacancy_search_list&query=data+science,Москва,,420000.0,руб.
DevOps engineer,https://vladimir.hh.ru/vacancy/69924752?from=vacancy_search_list&query=data+science,Москва,,3000.0,EUR
Доцент кафедры Математическая кибернетика и информационные технологии,https://vladimir.hh.ru/vacancy/69883532?from=vacancy_search_list&query=data+science,Москва,,69000.0,руб.
Software Developer,https://vladimir.hh.ru/vacancy/76163818?from=vacancy_search_list&query=data+science,Москва,3000.0,4000.0,EUR
Senior Java Backend developer,https://vladimir.hh.ru/vacancy/76262378?from=vacancy_search_list&query=data+science,Новосибирск,450000.0,,руб.
Senior Java Backend developer,https://vladimir.hh.ru/vacancy/76262377?from=vacancy_search_list&query=data+science,Санкт-Петербург,450000.0,,руб.
Бизнес-аналитик (Senior),https://vladimir.hh.ru/vacancy/75987776?from=vacancy_search_list&query=data+science,Москва,,200000.0,руб.
Software Developer,https://vladimir.hh.ru/vacancy/76163821?from=vacancy_search_list&query=data+science,Нижний Новгород,3000.0,4000.0,EUR
Software Developer,https://vladimir.hh.ru/vacancy/76163819?from=vacancy_search_list&query=data+science,Санкт-Петербург,3000.0,4000.0,EUR
Software Developer,https://vladimir.hh.ru/vacancy/76163820?from=vacancy_search_list&query=data+science,Краснодар,3000.0,4000.0,EUR
Data Analyst (американская компания),https://vladimir.hh.ru/vacancy/76437346?from=vacancy_search_list&query=data+science,Тбилиси,4000.0,7000.0,USD
Data Analyst (американская компания),https://vladimir.hh.ru/vacancy/76437165?from=vacancy_search_list&query=data+science,Тбилиси,4000.0,7000.0,USD
Data Steward Intern,https://vladimir.hh.ru/vacancy/76289206?from=vacancy_search_list&query=data+science,Тбилиси,3800.0,,USD
Data Steward Intern,https://vladimir.hh.ru/vacancy/76289754?from=vacancy_search_list&query=data+science,Баку,3800.0,,USD
Solutions Engineer (американская компания),https://vladimir.hh.ru/vacancy/76452910?from=vacancy_search_list&query=data+science,Тбилиси,3000.0,6500.0,USD
Python Backend Developer (Django),https://vladimir.hh.ru/vacancy/76778331?from=vacancy_search_list&query=data+science,Иннополис,,50000.0,руб.
АККРЕДИТОВАННАЯ КОМПАНИЯ Начинающий Frontend-разработчик,https://vladimir.hh.ru/vacancy/48411480?from=vacancy_search_list&query=data+science,Ростов-на-Дону,,40000.0,руб.
HR BP/HR Business Partner (IT компания),https://vladimir.hh.ru/vacancy/77134628?from=vacancy_search_list&query=data+science,Москва,200000.0,250000.0,руб.
UI/UX-дизайнер,https://vladimir.hh.ru/vacancy/72412721?from=vacancy_search_list&query=data+science,Ростов-на-Дону,,50000.0,руб.
Интернет-маркетолог (Лидогенерация),https://vladimir.hh.ru/vacancy/76345026?from=vacancy_search_list&query=data+science,Санкт-Петербург,,80000.0,руб.
Специалист технической поддержки (чаты),https://vladimir.hh.ru/vacancy/77127896?from=vacancy_search_list&query=data+science,Казань,,40000.0,руб.
АККРЕДИТОВАННАЯ КОМПАНИЯ Начинающий PHP-программист,https://vladimir.hh.ru/vacancy/51028125?from=vacancy_search_list&query=data+science,Ростов-на-Дону,,40000.0,руб.
"Специалист по работе с клиентами, удаленно (МаниМен)",https://vladimir.hh.ru/vacancy/75682438?from=vacancy_search_list&query=data+science,Самара,,50000.0,руб.
Специалист группы поддержки клиентов (МаниМен),https://vladimir.hh.ru/vacancy/77019236?from=vacancy_search_list&query=data+science,Казань,,50000.0,руб.
Менеджер по персоналу,https://vladimir.hh.ru/vacancy/76584467?from=vacancy_search_list&query=data+science,Саратов,,46000.0,руб.
Специалист по кадровому администрированию,https://vladimir.hh.ru/vacancy/75605151?from=vacancy_search_list&query=data+science,Москва,,85000.0,руб.
Начинающий юрист,https://vladimir.hh.ru/vacancy/76852476?from=vacancy_search_list&query=data+science,Казань,,35000.0,руб.
Middle QA Engineer,https://vladimir.hh.ru/vacancy/75829470?from=vacancy_search_list&query=data+science,Новосибирск,110000.0,,руб.
Специалист отдела по судебно - претензионной работе,https://vladimir.hh.ru/vacancy/76852377?from=vacancy_search_list&query=data+science,Казань,,35000.0,руб.
Специалист по работе с клиентами,https://vladimir.hh.ru/vacancy/75549909?from=vacancy_search_list&query=data+science,Екатеринбург,,60000.0,руб.
Менеджер IT-проектов,https://vladimir.hh.ru/vacancy/77013758?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",60000.0,100000.0,руб.
Junior QA Engineer,https://vladimir.hh.ru/vacancy/76993503?from=vacancy_search_list&query=data+science,"Новосибирск, Площадь Ленина",,45000.0,руб.
Ведущий инженер научно-технического отдела,https://vladimir.hh.ru/vacancy/76140922?from=vacancy_search_list&query=data+science,Екатеринбург,65000.0,80000.0,руб.
Специалист выездного взыскания,https://vladimir.hh.ru/vacancy/76272021?from=vacancy_search_list&query=data+science,Сургут,60000.0,250000.0,руб.
Менеджер по продажам (удаленно),https://vladimir.hh.ru/vacancy/69120170?from=vacancy_search_list&query=data+science,Москва,40000.0,170000.0,руб.
Менеджер по продажам (удалённо),https://vladimir.hh.ru/vacancy/76395846?from=vacancy_search_list&query=data+science,Санкт-Петербург,40000.0,170000.0,руб.
Junior Sales Manager,https://vladimir.hh.ru/vacancy/76923690?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",60000.0,100000.0,руб.
"Доцент кафедры ""Интеллектуальные системы в управлении и автоматизации""",https://vladimir.hh.ru/vacancy/72008062?from=vacancy_search_list&query=data+science,"Москва, Авиамоторная",,70000.0,руб.
Project Manager отдела маркетинга,https://vladimir.hh.ru/vacancy/76938521?from=vacancy_search_list&query=data+science,Москва,60000.0,,руб.
Старший IT-рекрутер,https://vladimir.hh.ru/vacancy/76925351?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",60000.0,100000.0,руб.
Маркетолог,https://vladimir.hh.ru/vacancy/76910096?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",60000.0,100000.0,руб.
Android Developer,https://vladimir.hh.ru/vacancy/76910183?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",130000.0,200000.0,руб.
HR менеджер,https://vladimir.hh.ru/vacancy/76924507?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",60000.0,100000.0,руб.
Специалист по обучению и развитию,https://vladimir.hh.ru/vacancy/75635288?from=vacancy_search_list&query=data+science,Казань,,80000.0,руб.
Бизнес-тренер / Специалист по обучению,https://vladimir.hh.ru/vacancy/76791861?from=vacancy_search_list&query=data+science,"Екатеринбург, Геологическая",50000.0,80000.0,руб.
Mid-senior Back End Developer,https://vladimir.hh.ru/vacancy/76729420?from=vacancy_search_list&query=data+science,Бишкек,,1500.0,USD
Офис-менеджер,https://vladimir.hh.ru/vacancy/76736503?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",60000.0,80000.0,руб.
Специалист выездного взыскания,https://vladimir.hh.ru/vacancy/71822555?from=vacancy_search_list&query=data+science,Кемерово,50000.0,200000.0,руб.
Специалист выездного взыскания,https://vladimir.hh.ru/vacancy/76695076?from=vacancy_search_list&query=data+science,Уфа,50000.0,200000.0,руб.
Копирайтер,https://vladimir.hh.ru/vacancy/76652916?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",60000.0,70000.0,руб.
Специалист по работе с исполнительным производством,https://vladimir.hh.ru/vacancy/71777746?from=vacancy_search_list&query=data+science,Иркутск,50000.0,200000.0,руб.
Менеджер отдела продаж,https://vladimir.hh.ru/vacancy/74242942?from=vacancy_search_list&query=data+science,Астана,300000.0,500000.0,KZT
Программист C# / Разработчик Unity (Junior) (удаленная работа не рассматривается),https://vladimir.hh.ru/vacancy/67376194?from=vacancy_search_list&query=data+science,Челябинск,40000.0,50000.0,руб.
Программист C# / Разработчик Unity (Middle/Senior) (удаленная работа не рассматривается),https://vladimir.hh.ru/vacancy/54521638?from=vacancy_search_list&query=data+science,Челябинск,100000.0,120000.0,руб.
Менеджер IT-проектов,https://vladimir.hh.ru/vacancy/76537215?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",60000.0,100000.0,руб.
Специалист по работе с клиентами,https://vladimir.hh.ru/vacancy/69015080?from=vacancy_search_list&query=data+science,Волгоград,,45000.0,руб.
Специалист по работе с клиентами (Мани Мен),https://vladimir.hh.ru/vacancy/69841085?from=vacancy_search_list&query=data+science,Волгоград,,40000.0,руб.
Sales manager в IT,https://vladimir.hh.ru/vacancy/76393136?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",60000.0,100000.0,руб.
Руководитель отдела продаж в IT,https://vladimir.hh.ru/vacancy/76405277?from=vacancy_search_list&query=data+science,Москва,300000.0,,руб.
Team Leader (PHP) / Руководитель группы разработки (English),https://vladimir.hh.ru/vacancy/76345172?from=vacancy_search_list&query=data+science,Москва,,350000.0,руб.
Системный администратор,https://vladimir.hh.ru/vacancy/76323647?from=vacancy_search_list&query=data+science,Москва,100000.0,,руб.
Senior PHP Developer,https://vladimir.hh.ru/vacancy/76276201?from=vacancy_search_list&query=data+science,Москва,,5500.0,EUR
Личный ассистент/начинающий маркетолог,https://vladimir.hh.ru/vacancy/76167353?from=vacancy_search_list&query=data+science,"Минск, Академия наук и еще 2 ",600.0,1500.0,бел.
Аккаунт-менеджер в IT,https://vladimir.hh.ru/vacancy/76083656?from=vacancy_search_list&query=data+science,"Санкт-Петербург, Петроградская",60000.0,100000.0,руб.
